[rosmaster.master][INFO] 2026-03-11 22:28:30,246: +PUB [/camera/color/image_raw/compressedDepth/parameter_updates] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,248: +PARAM [/camera/depth/image_raw/compressedDepth/format] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,249: +PARAM [/camera/depth/image_raw/compressedDepth/depth_max] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,249: +PARAM [/camera/depth/image_raw/compressedDepth/depth_quantization] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,250: +PARAM [/camera/depth/image_raw/compressedDepth/png_level] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,251: +PARAM [/camera/color/image_raw/compressedDepth/format] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,251: +PARAM [/camera/color/image_raw/compressedDepth/depth_max] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,252: +PARAM [/camera/color/image_raw/compressedDepth/depth_quantization] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,252: +PARAM [/camera/color/image_raw/compressedDepth/png_level] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,253: +PARAM [/camera/color/image_raw/compressedDepth/format] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,253: +PARAM [/camera/color/image_raw/compressedDepth/depth_max] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,254: +PARAM [/camera/color/image_raw/compressedDepth/depth_quantization] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,255: +PARAM [/camera/color/image_raw/compressedDepth/png_level] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,256: +PARAM [/camera/depth/image_raw/compressedDepth/format] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,257: +PARAM [/camera/depth/image_raw/compressedDepth/depth_max] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,257: +PARAM [/camera/depth/image_raw/compressedDepth/depth_quantization] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,258: +PARAM [/camera/depth/image_raw/compressedDepth/png_level] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,259: +PUB [/camera/color/image_raw/compressed] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,259: +PUB [/camera/depth/image_raw/compressed] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,260: +SERVICE [/camera/color/image_raw/compressed/set_parameters] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,260: +PUB [/camera/color/image_raw/compressed/parameter_descriptions] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,261: +SERVICE [/camera/depth/image_raw/compressed/set_parameters] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,262: +PUB [/camera/color/image_raw/compressed/parameter_updates] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,262: +PUB [/camera/depth/image_raw/compressed/parameter_descriptions] /gazebo http://rera:38799/
